p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	aln	tcas	D.Symbol	D.Name	tcas_name	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC008334	0	0.988964236800746	0.986	0.437	0	0	TcasGA2-TC008334	TcasGA2_TC008334	gnl|WGS:AAJJ|TC008334-PA	CG8916	uncharacterized protein Dmel_CG8916, isoform B	TcasGA2-TC008334	CM000279.2	8673835	8691808	17974	+	cys-loop ligand-gated ion channel subunit	4
TcasGA2-TC014550	0	0.988138351912762	0.859	0.308	0	0	TcasGA2-TC014550	TcasGA2_TC014550	gnl|WGS:AAJJ|TC014550-PA	Trc8	TRC8 ring finger protein, isoform E	TcasGA2-TC014550	CM000280.3	11519481	11520658	1178	+	hypothetical protein	5
TcasGA2-TC032948	0	0.987597808317799	0.999	0.637	0	0	TcasGA2-TC032948	TcasGA2_TC032948	gnl|WGS:AAJJ|TC032948-PA	Pkn	protein kinase N, isoform E	TcasGA2-TC032948	CM000279.2	9651533	9652785	1253	+	hypothetical protein	4
TcasGA2-TC002600	0	0.981608437994443	0.979	0.429	0	0	TcasGA2-TC002600	TcasGA2_TC002600	gnl|WGS:AAJJ|TC002600-PA	Argk	arginine kinase, isoform A	TcasGA2-TC002600	CM000278.3	22244228	22245495	1268	-	Arginine kinase-like Protein	3
TcasGA2-TC009199	0	0.980949313763363	0.992	0.447	0	0	TcasGA2-TC009199	TcasGA2_TC009199	gnl|WGS:AAJJ|TC009199-PA	Ppi1	protein phosphatase 1c interacting protein 1, isoform B	TcasGA2-TC009199	CM000282.3	3230325	3235734	5410	-	hypothetical protein	7
TcasGA2-TC005484	0	0.978198085273607	0.997	0.555	0	0	TcasGA2-TC005484	TcasGA2_TC005484	gnl|WGS:AAJJ|TC005484-PA	Topors	topoisomerase I-interacting protein, isoform B	TcasGA2-TC005484	CM000283.3	12236572	12237899	1328	-	E3 ubiquitin-protein ligase RNF139-like Protein	8
TcasGA2-TC008100	0	0.977341756931335	0.808	0.272	0	0	TcasGA2-TC008100	TcasGA2_TC008100	gnl|WGS:AAJJ|TC008100-PA	Nna1	Nna1 carboxypeptidase, isoform G	TcasGA2-TC008100	CM000279.2	5022493	5026237	3745	+	Cytosolic carboxypeptidase NnaD-like Protein	4
TcasGA2-TC007603	0	0.976101137691717	0.99	0.495	0	0	TcasGA2-TC007603	TcasGA2_TC007603	gnl|WGS:AAJJ|TC007603-PA	NijA	ninjurin A, isoform D	TcasGA2-TC007603	CM000279.2	2490273	2491480	1208	-	Transmembrane protein 136-like Protein	4
TcasGA2-TC001529	0	0.972701346984744	0.957	0.377	0	0	TcasGA2-TC001529	TcasGA2_TC001529	gnl|WGS:AAJJ|TC001529-PA	Doa	darkener of apricot, isoform P	TcasGA2-TC001529	CM000285.3	3031193	3035387	4195	-	Serine/threonine-protein kinase Doa-like Protein	10
TcasGA2-TC013886	0	0.967030646543827	0.98	0.422	0	0	TcasGA2-TC013886	TcasGA2_TC013886	gnl|WGS:AAJJ|TC013886-PA	CG42529	uncharacterized protein Dmel_CG42529	TcasGA2-TC013886	CM000280.3	2204577	2205855	1279	+	hypothetical protein	5
TcasGA2-TC004242	0	0.962431916688784	0.946	0.404	0	0	TcasGA2-TC004242	TcasGA2_TC004242	gnl|WGS:AAJJ|TC004242-PA	CG42672	uncharacterized protein Dmel_CG42672, isoform L	TcasGA2-TC004242	KQ972797.1	39133	56641	17509	+	hypothetical protein	NA
TcasGA2-TC012080	0	0.955608667363118	0.867	0.294	0	0	TcasGA2-TC012080	TcasGA2_TC012080	gnl|WGS:AAJJ|TC012080-PA	bru1	bruno 1, isoform H	TcasGA2-TC012080	CM000284.3	6343906	6404955	61050	-	CUGBP Elav-like family member 1	9
TcasGA2-TC015951	0	0.926909013631787	0.847	0.286	0	0	TcasGA2-TC015951	TcasGA2_TC015951	gnl|WGS:AAJJ|TC015951-PA	orb	oo18 RNA-binding protein, isoform F	TcasGA2-TC015951	CM000282.3	4014268	4016891	2624	-	hypothetical protein	7
TcasGA2-TC032947	0	0.926540061343533	0.841	0.283	0	0	TcasGA2-TC032947	TcasGA2_TC032947	gnl|WGS:AAJJ|TC032947-PA	CG9525	uncharacterized protein Dmel_CG9525, isoform B	TcasGA2-TC032947	CM000279.2	9656928	9661224	4297	+	hypothetical protein	4
TcasGA2-TC033183	0	0.920169625398113	0.666	0.201	0	0	TcasGA2-TC033183	TcasGA2_TC033183	gnl|WGS:AAJJ|TC033183-PA	TER94	TER94, isoform A	TcasGA2-TC033183	CM000280.3	11476351	11488014	11664	-	ATPase family AAA domain-containing protein 2B-like Protein	5
TcasGA2-TC007045	0	0.907386339501486	0.861	0.306	0	0	TcasGA2-TC007045	TcasGA2_TC007045	gnl|WGS:AAJJ|TC007045-PA	CG15141	uncharacterized protein Dmel_CG15141	TcasGA2-TC007045	CM000279.2	10819038	10820342	1305	-	Putative E3 ubiquitin-protein ligase UBR7-like Protein	4
TcasGA2-TC004407	0	0.904143082763217	0.696	0.224	0	0	TcasGA2-TC004407	TcasGA2_TC004407	gnl|WGS:AAJJ|TC004407-PA	CG43338	uncharacterized protein Dmel_CG43338, isoform B	TcasGA2-TC004407	CM000278.3	19763376	19771549	8174	+	hypothetical protein	3
TcasGA2-TC007732	0	0.89965058005513	0.773	0.262	0	0	TcasGA2-TC007732	TcasGA2_TC007732	gnl|WGS:AAJJ|TC007732-PA	Ts	thymidylate synthase, isoform B	TcasGA2-TC007732	CM000279.2	287699	288950	1252	+	Thymidylate synthase-like Protein	4
TcasGA2-TC002433	0	0.895703817705442	0.934	0.352	0	0	TcasGA2-TC002433	TcasGA2_TC002433	gnl|WGS:AAJJ|TC002433-PA	Chchd3	Coiled-coil-helix-coiled-coil-helix domain containing 3	TcasGA2-TC002433	CM000278.3	28972287	28973316	1030	+	hypothetical protein	3
TcasGA2-TC007493	0	0.892179424185332	0.999	0.779	0	0	TcasGA2-TC007493	TcasGA2_TC007493	gnl|WGS:AAJJ|TC007493-PA	BBIP1	uncharacterized protein Dmel_CG8135	TcasGA2-TC007493	CM000279.2	3755971	3756513	543	-	hypothetical protein	4
TcasGA2-TC031749	0	0.891878685337381	0.973	0.409	0	0	TcasGA2-TC031749	TcasGA2_TC031749	gnl|WGS:AAJJ|TC031749-PA	seq	lysine (K)-specific demethylase 4B, isoform B	TcasGA2-TC031749	KQ973453.1	51347	56565	5219	-	hypothetical protein	NA
TcasGA2-TC007043	0	0.888733115232353	0.871	0.312	0	0	TcasGA2-TC007043	TcasGA2_TC007043	gnl|WGS:AAJJ|TC007043-PA	heph	hephaestus, isoform Y	TcasGA2-TC007043	CM000279.2	10846167	10849652	3486	-	hypothetical protein	4
TcasGA2-TC033415	0	0.880820415315157	0.849	0.284	0	0	TcasGA2-TC033415	TcasGA2_TC033415	gnl|WGS:AAJJ|TC033415-PA	UQCR-C1	Ubiquinol-cytochrome c reductase core protein 1, isoform B	TcasGA2-TC033415	CM000281.3	4256167	4264802	8636	-	Mitochondrial-processing peptidase subunit beta-like Protein	6
TcasGA2-TC004435	0	0.871614581174248	0.822	0.293	0	0	TcasGA2-TC004435	TcasGA2_TC004435	gnl|WGS:AAJJ|TC004435-PA	CG9723	uncharacterized protein Dmel_CG9723	TcasGA2-TC004435	CM000277.3	4952046	4954497	2452	-	Transmembrane protein 194A-like Protein	2
TcasGA2-TC011356	0	0.862423487525212	0.685	0.23	0	0	TcasGA2-TC011356	TcasGA2_TC011356	gnl|WGS:AAJJ|TC011356-PA	ERp60	endoplasmic reticulum p60	TcasGA2-TC011356	CM000285.3	4295589	4297188	1600	+	Protein disulfide-isomerase-like Protein	10
TcasGA2-TC007349	0	0.860248413991126	0.915	0.36	0	0	TcasGA2-TC007349	TcasGA2_TC007349	gnl|WGS:AAJJ|TC007349-PA	CG8646	uncharacterized protein Dmel_CG8646	TcasGA2-TC007349	CM000279.2	5810039	5812116	2078	-	Arylsulfatase I-like Protein	4
TcasGA2-TC011725	0	0.856485420042194	0.805	0.271	0	0	TcasGA2-TC011725	TcasGA2_TC011725	gnl|WGS:AAJJ|TC011725-PA	Cchl	cytochrome c heme lyase, isoform B	TcasGA2-TC011725	CM000284.3	14481684	14484351	2668	-	Cytochrome c-type heme lyase-like Protein	9
TcasGA2-TC010378	0	0.847764382179724	0.911	0.337	0	0	TcasGA2-TC010378	TcasGA2_TC010378	gnl|WGS:AAJJ|TC010378-PA	Naa60	N(alpha)-acetyltransferase 60, isoform B	TcasGA2-TC010378	CM000278.3	24941203	24943140	1938	+	N-alpha-acetyltransferase 60-like Protein	3
TcasGA2-TC005359	0	0.841797054988583	0.665	0.216	0	0	TcasGA2-TC005359	TcasGA2_TC005359	gnl|WGS:AAJJ|TC005359-PA	CG10869	uncharacterized protein Dmel_CG10869	TcasGA2-TC005359	CM000283.3	14096606	14101558	4953	-	hypothetical protein	8
TcasGA2-TC006616	0	0.831977538364018	0.934	0.35	0	0	TcasGA2-TC006616	TcasGA2_TC006616	gnl|WGS:AAJJ|TC006616-PA	REG	proteasome regulator gamma, isoform B	TcasGA2-TC006616	CM000283.3	11994756	11995701	946	+	Proteasome activator complex subunit 3-like Protein	8
TcasGA2-TC034818	0	0.831586031227435	0.951	0.394	0	0	TcasGA2-TC034818	TcasGA2_TC034818	gnl|WGS:AAJJ|TC034818-PA	Rab7	Rab7, isoform B	TcasGA2-TC034818	CM000283.3	2592919	2596366	3448	-	Ras-related protein Rab6-like protein	8
TcasGA2-TC013668	0	0.82930951856478	0.828	0.302	0	0	TcasGA2-TC013668	TcasGA2_TC013668	gnl|WGS:AAJJ|TC013668-PA	nesd	nessun dorma, isoform A	TcasGA2-TC013668	CM000280.3	6485334	6487278	1945	-	SHC SH2 domain-binding protein 1-like Protein	5
TcasGA2-TC002719	0	0.827051801869956	0.942	0.404	0	0	TcasGA2-TC002719	TcasGA2_TC002719	gnl|WGS:AAJJ|TC002719-PA	cnn	centrosomin, isoform E	TcasGA2-TC002719	CM000278.3	13376113	13391003	14891	-	centrosomin	3
TcasGA2-TC008108	0	0.815263110668722	0.832	0.323	0	0	TcasGA2-TC008108	TcasGA2_TC008108	gnl|WGS:AAJJ|TC008108-PA	Adk1	adenylate kinase 1, isoform A	TcasGA2-TC008108	CM000279.2	5043703	5044382	680	+	hypothetical protein	4
TcasGA2-TC008122	0	0.811516454754694	0.866	0.309	0	0	TcasGA2-TC008122	TcasGA2_TC008122	gnl|WGS:AAJJ|TC008122-PA	stas	stasimon, isoform A	TcasGA2-TC008122	CM000279.2	5326236	5329230	2995	+	Transmembrane protein 41 homolog-like Protein	4
TcasGA2-TC014620	0	0.794999253138792	0.851	0.314	0	0	TcasGA2-TC014620	TcasGA2_TC014620	gnl|WGS:AAJJ|TC014620-PA	Axs	abnormal X segregation	TcasGA2-TC014620	CM000280.3	12498931	12508128	9198	+	abnormal X segregation	5
TcasGA2-TC008998	0	0.791680743099388	0.963	0.439	0	0	TcasGA2-TC008998	TcasGA2_TC008998	gnl|WGS:AAJJ|TC008998-PA	ps	pasilla, isoform K	TcasGA2-TC008998	CM000282.3	8949068	8973155	24088	-	RNA-binding protein Nova-1-like Protein	7
TcasGA2-TC014784	0	0.788112905765941	0.931	0.36	0	0	TcasGA2-TC014784	TcasGA2_TC014784	gnl|WGS:AAJJ|TC014784-PA	unc79	uncoordinated 79, isoform B	TcasGA2-TC014784	CM000280.3	15046475	15047681	1207	+	hypothetical protein	5
TcasGA2-TC030910	0	0.77482493429531	0.804	0.316	0	0	TcasGA2-TC030910	TcasGA2_TC030910	gnl|WGS:AAJJ|TC030910-PA	CG33253	uncharacterized protein Dmel_CG33253, isoform A	TcasGA2-TC030910	CM000281.3	5681033	5691604	10572	+	hypothetical protein	6
TcasGA2-TC007643	0	0.765645560144411	0.903	0.354	0	0	TcasGA2-TC007643	TcasGA2_TC007643	gnl|WGS:AAJJ|TC007643-PA	Mdh2	malate dehydrogenase 2	TcasGA2-TC007643	CM000279.2	1810392	1812881	2490	-	putative malate dehydrogenase, mitochondrial-like Protein	4
TcasGA2-TC011115	0	0.764332309264733	0.94	0.391	0	0	TcasGA2-TC011115	TcasGA2_TC011115	gnl|WGS:AAJJ|TC011115-PA	CG18335	uncharacterized protein Dmel_CG18335	TcasGA2-TC011115	KQ971410.1	49399	50786	1388	-	UPF0605 protein CG18335-like Protein	NA
TcasGA2-TC015247	0	0.763124389060342	0.898	0.325	0	0	TcasGA2-TC015247	TcasGA2_TC015247	gnl|WGS:AAJJ|TC015247-PA	CG12824	uncharacterized protein Dmel_CG12824, isoform B	TcasGA2-TC015247	CM000283.3	9460824	9461502	679	+	hypothetical protein	8
TcasGA2-TC032435	0	0.756495130559344	0.818	0.262	0	0	TcasGA2-TC032435	TcasGA2_TC032435	gnl|WGS:AAJJ|TC032435-PA	Ctl1	choline transporter-like 1, isoform B	TcasGA2-TC032435	CM000278.3	9088721	9090795	2075	+	Choline transporter-like protein 1	3
TcasGA2-TC005057	0	0.749290661289523	0.768	0.241	0	0	TcasGA2-TC005057	TcasGA2_TC005057	gnl|WGS:AAJJ|TC005057-PA	Thd1	Thd1, isoform B	TcasGA2-TC005057	KQ971611.1	6470	7504	1035	-	hypothetical protein	NA
TcasGA2-TC031111	0	0.743698309372202	0.917	0.38	0	0	TcasGA2-TC031111	TcasGA2_TC031111	gnl|WGS:AAJJ|TC031111-PA	CG14305	uncharacterized protein Dmel_CG14305, isoform A	TcasGA2-TC031111	CM000279.2	6992841	7058697	65857	-	Serine/threonine-protein kinase CG17528-like Protein	4
TcasGA2-TC012844	0	0.740944749741706	0.94	0.402	0	0	TcasGA2-TC012844	TcasGA2_TC012844	gnl|WGS:AAJJ|TC012844-PA	Mdh2	malate dehydrogenase 2	TcasGA2-TC012844	CM000284.3	15687912	15689391	1480	-	Malate dehydrogenase, mitochondrial-like Protein	9
TcasGA2-TC014760	0	0.724294584179101	0.796	0.287	0	0	TcasGA2-TC014760	TcasGA2_TC014760	gnl|WGS:AAJJ|TC014760-PA	CG10616	uncharacterized protein Dmel_CG10616, isoform C	TcasGA2-TC014760	CM000280.3	14746127	14747833	1707	+	Protein odr-4 homolog-like Protein	5
TcasGA2-TC032759	0	0.716458486438403	0.771	0.259	0	0	TcasGA2-TC032759	TcasGA2_TC032759	gnl|WGS:AAJJ|TC032759-PA	Atox1	antioxidant 1 copper chaperone, isoform A	TcasGA2-TC032759	CM000279.2	2030528	2031060	533	-	Copper transport protein ATOX1-like Protein	4
TcasGA2-TC010473	0	0.709019947551068	0.79	0.278	0	0	TcasGA2-TC010473	TcasGA2_TC010473	gnl|WGS:AAJJ|TC010473-PA	CG16984	uncharacterized protein Dmel_CG16984	TcasGA2-TC010473	KQ972204.1	304975	310019	5045	-	Enkurin-like Protein	NA
TcasGA2-TC010170	0	0.698768562382435	0.876	0.329	0	0	TcasGA2-TC010170	TcasGA2_TC010170	gnl|WGS:AAJJ|TC010170-PA	nmdyn-D7	nmdyn-D7	TcasGA2-TC010170	CM000282.3	13657853	13662141	4289	-	Nucleoside diphosphate kinase 7-like Protein	7
TcasGA2-TC013692	0	0.673164640981384	0.713	0.244	0	0	TcasGA2-TC013692	TcasGA2_TC013692	gnl|WGS:AAJJ|TC013692-PA	Tap42	Two A-associated protein of 42kDa	TcasGA2-TC013692	CM000280.3	5938534	5939782	1249	-	Immunoglobulin-binding protein 1-like Protein	5
TcasGA2-TC014998	0	0.670887152283297	0.868	0.336	0	0	TcasGA2-TC014998	TcasGA2_TC014998	gnl|WGS:AAJJ|TC014998-PA	Ald1	aldolase 1, isoform E	TcasGA2-TC014998	CM000281.3	4886624	4893334	6711	+	Fructose-bisphosphate aldolase-like Protein	6
TcasGA2-TC034421	0	0.65755799851249	0.886	0.356	0	0	TcasGA2-TC034421	TcasGA2_TC034421	gnl|WGS:AAJJ|TC034421-PA	Tsp42Ed	tetraspanin 42Ed, isoform B	TcasGA2-TC034421	CM000284.3	12446047	12456019	9973	+	Tetraspanin-7-like Protein	9
TcasGA2-TC011232	0	0.652815945518932	0.897	0.34	0	0	TcasGA2-TC011232	TcasGA2_TC011232	gnl|WGS:AAJJ|TC011232-PA	botv	brother of tout-velu	TcasGA2-TC011232	CM000285.3	743559	744029	471	-	hypothetical protein	10
TcasGA2-TC015925	0	0.632799373347288	0.873	0.326	0	0	TcasGA2-TC015925	TcasGA2_TC015925	gnl|WGS:AAJJ|TC015925-PA	alph	alphabet, isoform B	TcasGA2-TC015925	CM000282.3	4256194	4265794	9601	+	Protein phosphatase 1B-like Protein	7
TcasGA2-TC013081	0	0.510267024487034	0.859	0.319	0	0	TcasGA2-TC013081	TcasGA2_TC013081	gnl|WGS:AAJJ|TC013081-PA	CG11267	uncharacterized protein Dmel_CG11267	TcasGA2-TC013081	CM000280.3	14257118	14258407	1290	-	10 kDa heat shock protein, mitochondrial-like Protein	5
TcasGA2-TC014769	2.26700362920516e-307	0.683047440307668	0.83	0.297	2.40007674223951e-303	0	TcasGA2-TC014769	TcasGA2_TC014769	gnl|WGS:AAJJ|TC014769-PA	Glut1	glucose transporter 1, isoform V	TcasGA2-TC014769	CM000280.3	14836757	14845318	8562	+	hypothetical protein	5
TcasGA2-TC012507	4.49516810735789e-307	0.515197365982198	0.742	0.263	4.7590344752598e-303	0	TcasGA2-TC012507	TcasGA2_TC012507	gnl|WGS:AAJJ|TC012507-PA	mrj	mrj, isoform A	TcasGA2-TC012507	CM000284.3	9580755	9589316	8562	+	DnaJ protein homolog 1-like Protein	9
TcasGA2-TC032120	3.0904759950469e-306	0.706648765486048	0.924	0.394	3.27188693595616e-302	0	TcasGA2-TC032120	TcasGA2_TC032120	gnl|WGS:AAJJ|TC032120-PA	pum	pumilio, isoform F	TcasGA2-TC032120	CM000277.3	9003576	9004488	913	-	hypothetical protein	2
TcasGA2-TC004492	1.4748686508947e-305	0.991124746355442	0.991	0.513	1.56144344070222e-301	0	TcasGA2-TC004492	TcasGA2_TC004492	gnl|WGS:AAJJ|TC004492-PA	CG9646	uncharacterized protein Dmel_CG9646, isoform A	TcasGA2-TC004492	CM000277.3	3795766	3797538	1773	-	hypothetical protein	2
TcasGA2-TC013212	2.1798643876107e-304	0.681900249516045	0.885	0.36	2.30782242716345e-300	0	TcasGA2-TC013212	TcasGA2_TC013212	gnl|WGS:AAJJ|TC013212-PA	Ykt6	YKT6 v-SNARE	TcasGA2-TC013212	CM000280.3	12163310	12164416	1107	-	Synaptobrevin homolog YKT6-like Protein	5
TcasGA2-TC015145	2.84346264693609e-304	0.801302722527933	0.982	0.467	3.01037390431124e-300	0	TcasGA2-TC015145	TcasGA2_TC015145	gnl|WGS:AAJJ|TC015145-PA	Mlp60A	muscle LIM protein at 60A, isoform B	TcasGA2-TC015145	CM000281.3	2403615	2408286	4672	-	hypothetical protein	6
TcasGA2-TC010157	4.68105229077625e-304	0.72077960103222	0.768	0.285	4.95583006024482e-300	0	TcasGA2-TC010157	TcasGA2_TC010157	gnl|WGS:AAJJ|TC010157-PA	Scsalpha1	Succinyl-coenzyme A synthetase alpha subunit 1, isoform B	TcasGA2-TC010157	CM000282.3	13831580	13838415	6836	-	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial-like Protein	7
TcasGA2-TC032865	8.76043258949834e-304	0.630062617443639	0.711	0.241	9.27466998250189e-300	0	TcasGA2-TC032865	TcasGA2_TC032865	gnl|WGS:AAJJ|TC032865-PA	mIF3	mitochondrial translation initiation factor 3, isoform B	TcasGA2-TC032865	CM000279.2	7558525	7559559	1035	+	Translation initiation factor IF-3, mitochondrial-like Protein	4
TcasGA2-TC034859	2.93285701570703e-302	0.782044293403638	0.803	0.312	3.10501572252903e-298	0	TcasGA2-TC034859	TcasGA2_TC034859	gnl|WGS:AAJJ|TC034859-PA	CG30429	uncharacterized protein Dmel_CG30429	TcasGA2-TC034859	CM000284.3	1735812	1742791	6980	-	MORN repeat-containing protein 3-like protein	9
